bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
85074	3	117.67	0.509	0.066	0.085	0.038	0.066	0.236	0.000	0.000	0.000	0.000	0.000	0.000
88686	6	28.00	0.540	0.000	0.440	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000
88689	7	8.00	0.711	0.045	0.095	0.008	0.045	0.095	0.000	0.000	0.000	0.000	0.000	0.000
88741	17	22.33	0.366	0.349	0.091	0.000	0.194	0.000	0.000	0.000	0.000	0.000	0.000	0.000
88742	17	1.00	0.000	0.167	0.083	0.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
88756	5	1.00	0.959	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
88841	18	8.00	0.926	0.015	0.044	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000
88845	5	8.00	0.959	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
88849	18	5.00	0.929	0.000	0.000	0.000	0.000	0.000	0.000	0.071	0.000	0.000	0.000	0.000
88864	7	20.00	0.459	0.027	0.216	0.162	0.018	0.108	0.000	0.000	0.000	0.000	0.000	0.009
88865	20	2.00	0.722	0.070	0.056	0.052	0.007	0.000	0.067	0.022	0.000	0.000	0.000	0.004
89710	19	8.00	0.980	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005
89717	11	1.00	0.312	0.182	0.110	0.201	0.195	0.000	0.000	0.000	0.000	0.000	0.000	0.000
89739	18	21.00	0.568	0.031	0.297	0.097	0.004	0.000	0.000	0.004	0.000	0.000	0.000	0.000
89749	17	8.00	0.667	0.167	0.028	0.028	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000
89784	16	1.00	0.118	0.118	0.000	0.471	0.118	0.000	0.176	0.000	0.000	0.000	0.000	0.000
89817	2	4.00	0.730	0.150	0.060	0.030	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000
89848	10	8.00	0.907	0.000	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
89932	15	5.00	0.548	0.000	0.233	0.000	0.000	0.205	0.000	0.000	0.014	0.000	0.000	0.000
89982	19	1.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
