bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
85074	3	117.67	0.509	0.066	0.085	0.038	0.066	0.236	0.000	0.000	0.000	0.000	0.000	0.000
85204	7	175.67	0.496	0.000	0.336	0.000	0.000	0.168	0.000	0.000	0.000	0.000	0.000	0.000
85226	18	179.00	0.973	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85239	16	53.33	0.825	0.014	0.045	0.000	0.000	0.000	0.084	0.025	0.000	0.000	0.000	0.007
85245	20	79.33	0.680	0.040	0.240	0.000	0.000	0.000	0.020	0.020	0.000	0.000	0.000	0.000
85255	8	289.33	0.254	0.237	0.034	0.314	0.161	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85262	14	185.33	0.962	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85299	20	77.33	0.728	0.012	0.118	0.000	0.000	0.000	0.130	0.012	0.000	0.000	0.000	0.000
85379	5	242.67	0.968	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85397	18	49.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85402	5	44.00	0.967	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85413	20	335.67	0.743	0.092	0.066	0.059	0.025	0.000	0.003	0.012	0.000	0.000	0.000	0.000
85421	10	42.67	0.846	0.000	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85491	14	180.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85713	5	224.00	0.852	0.037	0.093	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85754	17	230.33	0.470	0.217	0.012	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85810	10	30.67	0.907	0.000	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85811	12	148.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85831	17	217.33	0.933	0.011	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85845	17	1.00	0.456	0.253	0.063	0.190	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85900	14	164.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85901	20	264.00	0.636	0.182	0.114	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85926	17	133.33	0.758	0.061	0.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85933	18	1.00	0.964	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009
85945	17	120.00	0.788	0.030	0.152	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85966	4	182.67	0.118	0.206	0.353	0.059	0.176	0.088	0.000	0.000	0.000	0.000	0.000	0.000
86028	3	8.00	0.492	0.000	0.270	0.000	0.000	0.222	0.000	0.000	0.016	0.000	0.000	0.000
86078	17	117.67	0.520	0.114	0.193	0.105	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86107	17	170.67	0.545	0.152	0.061	0.212	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86135	6	224.00	0.470	0.022	0.328	0.000	0.000	0.000	0.174	0.005	0.000	0.000	0.000	0.000
86141	5	8.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86152	20	8.00	0.957	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86167	18	305.33	0.978	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003
86217	14	22.33	0.939	0.000	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86253	8	20.00	0.000	0.682	0.045	0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86278	15	32.00	0.000	0.000	0.435	0.000	0.000	0.565	0.000	0.000	0.000	0.000	0.000	0.000
86326	2	8.00	0.322	0.293	0.071	0.100	0.209	0.000	0.000	0.000	0.000	0.003	0.000	0.003
86377	17	182.33	0.700	0.100	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86381	4	23.33	0.917	0.000	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000
86384	7	222.33	0.650	0.023	0.162	0.003	0.014	0.147	0.000	0.000	0.000	0.000	0.000	0.000
86386	4	221.33	0.454	0.087	0.175	0.225	0.017	0.042	0.000	0.000	0.000	0.000	0.000	0.000
86410	18	8.00	0.810	0.000	0.121	0.000	0.000	0.000	0.000	0.069	0.000	0.000	0.000	0.000
86412	4	291.67	0.350	0.000	0.250	0.000	0.000	0.350	0.000	0.000	0.000	0.000	0.000	0.050
86441	20	3.00	0.957	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86451	20	160.00	0.644	0.063	0.101	0.000	0.000	0.000	0.106	0.087	0.000	0.000	0.000	0.000
86463	19	8.00	0.833	0.000	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86471	16	12.00	0.926	0.000	0.049	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000
86472	16	59.00	0.924	0.000	0.051	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000
86484	16	41.33	0.844	0.014	0.034	0.054	0.014	0.000	0.041	0.000	0.000	0.000	0.000	0.000
86511	8	8.00	0.000	0.682	0.045	0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86564	3	30.33	0.333	0.000	0.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86580	18	230.00	0.940	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004
86591	17	30.67	0.250	0.225	0.075	0.200	0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86596	10	273.33	0.896	0.000	0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86602	20	109.33	0.640	0.137	0.060	0.091	0.050	0.000	0.011	0.009	0.000	0.000	0.000	0.001
86632	7	89.33	0.679	0.000	0.214	0.000	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.000
86663	18	1.00	0.944	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014
86682	17	18.67	0.963	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86684	16	8.00	0.841	0.000	0.079	0.000	0.000	0.000	0.073	0.000	0.000	0.000	0.000	0.006
86778	6	69.33	0.667	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86779	18	105.33	0.969	0.005	0.020	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000
86815	6	71.67	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
