bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
65646	17	101.33	0.911	0.018	0.036	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000
73078	12	302.00	0.595	0.054	0.324	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000
73199	4	406.00	0.998	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000
73277	10	285.00	0.867	0.000	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
73295	20	134.33	0.870	0.019	0.093	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000
73671	12	231.00	0.952	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
73934	4	111.00	0.275	0.075	0.150	0.025	0.100	0.375	0.000	0.000	0.000	0.000	0.000	0.000
74004	20	117.00	0.876	0.009	0.041	0.000	0.000	0.000	0.055	0.014	0.000	0.000	0.000	0.005
74032	19	332.00	0.909	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74126	18	96.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74266	15	193.33	0.727	0.000	0.000	0.000	0.000	0.273	0.000	0.000	0.000	0.000	0.000	0.000
74286	5	143.67	0.947	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74369	10	231.33	0.957	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007
74444	4	295.33	0.097	0.228	0.157	0.123	0.340	0.056	0.000	0.000	0.000	0.000	0.000	0.000
74477	11	334.67	0.155	0.276	0.069	0.103	0.362	0.034	0.000	0.000	0.000	0.000	0.000	0.000
74502	8	46.67	0.000	0.790	0.032	0.145	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.000
74505	8	13.33	0.429	0.286	0.143	0.000	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74580	16	53.67	0.946	0.022	0.022	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74669	19	274.67	0.867	0.000	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74689	11	376.00	0.612	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.000	0.000	0.000	0.000
74746	17	107.33	0.932	0.034	0.024	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74753	5	144.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74761	10	38.67	0.867	0.000	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74776	10	174.00	0.881	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74801	1	313.33	0.692	0.038	0.231	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74938	18	29.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74944	17	112.00	0.898	0.020	0.023	0.006	0.020	0.000	0.025	0.008	0.000	0.000	0.000	0.000
75066	17	240.00	0.934	0.028	0.021	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75109	16	8.00	0.946	0.022	0.022	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75155	17	79.67	0.708	0.090	0.191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011
75156	14	249.33	0.895	0.000	0.105	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75193	17	85.33	0.831	0.082	0.015	0.015	0.046	0.000	0.000	0.010	0.000	0.000	0.000	0.000
75200	17	76.67	0.167	0.333	0.083	0.417	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75221	12	8.00	0.550	0.000	0.450	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75226	4	8.00	0.000	0.100	0.229	0.014	0.300	0.357	0.000	0.000	0.000	0.000	0.000	0.000
75264	8	2.00	0.462	0.323	0.031	0.046	0.077	0.000	0.000	0.062	0.000	0.000	0.000	0.000
75280	11	115.33	0.386	0.075	0.109	0.017	0.038	0.372	0.000	0.000	0.003	0.000	0.000	0.000
75296	17	66.67	0.916	0.018	0.012	0.006	0.036	0.000	0.000	0.012	0.000	0.000	0.000	0.000
75328	19	238.67	0.857	0.000	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75391	20	167.00	0.705	0.038	0.154	0.032	0.006	0.058	0.000	0.006	0.000	0.000	0.000	0.000
75400	19	226.67	0.963	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75408	11	208.00	0.539	0.055	0.137	0.015	0.047	0.206	0.000	0.000	0.002	0.000	0.000	0.000
75426	6	45.00	0.375	0.188	0.229	0.021	0.000	0.000	0.042	0.146	0.000	0.000	0.000	0.000
75431	20	162.67	0.732	0.094	0.050	0.031	0.006	0.000	0.067	0.017	0.000	0.000	0.000	0.004
75432	20	162.67	0.732	0.094	0.050	0.031	0.006	0.000	0.067	0.017	0.000	0.000	0.000	0.004
75455	5	31.00	0.959	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75466	12	31.67	0.850	0.000	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75488	18	37.33	0.943	0.000	0.044	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000
75489	18	1.00	0.973	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.027
75561	12	39.67	0.844	0.000	0.156	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75632	10	18.67	0.955	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75643	4	68.00	0.994	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75644	5	30.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75649	5	48.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75656	3	124.00	0.509	0.066	0.085	0.038	0.066	0.236	0.000	0.000	0.000	0.000	0.000	0.000
75658	12	8.00	0.688	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75660	20	126.33	0.705	0.038	0.154	0.032	0.006	0.058	0.000	0.006	0.000	0.000	0.000	0.000
75701	10	182.67	0.780	0.018	0.183	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.005
75711	2	3.00	0.408	0.232	0.099	0.085	0.165	0.000	0.000	0.000	0.000	0.009	0.000	0.002
75720	18	1.00	0.945	0.000	0.043	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000
75786	8	2.00	0.429	0.286	0.143	0.000	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75821	8	8.00	0.000	0.790	0.032	0.145	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.000
75917	7	53.33	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.941	0.000	0.000	0.000
75954	9	38.00	0.400	0.176	0.094	0.200	0.059	0.071	0.000	0.000	0.000	0.000	0.000	0.000
76027	12	0.00	0.976	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76093	18	73.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76100	18	8.00	0.953	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009
76103	18	8.00	0.974	0.000	0.017	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.004
76159	12	17.33	0.690	0.000	0.310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76171	4	44.00	0.427	0.095	0.101	0.000	0.060	0.317	0.000	0.000	0.000	0.000	0.000	0.000
76174	14	18.67	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76181	18	1.00	0.943	0.000	0.044	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000
76190	18	12.00	0.873	0.032	0.041	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.000
76204	4	8.00	0.300	0.300	0.000	0.000	0.000	0.400	0.000	0.000	0.000	0.000	0.000	0.000
76220	11	8.00	0.286	0.000	0.000	0.000	0.000	0.714	0.000	0.000	0.000	0.000	0.000	0.000
76242	17	5.00	0.906	0.014	0.014	0.007	0.043	0.000	0.000	0.014	0.000	0.000	0.000	0.000
76244	14	5.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76249	4	117.33	0.438	0.188	0.063	0.000	0.000	0.313	0.000	0.000	0.000	0.000	0.000	0.000
76255	4	156.00	0.438	0.188	0.063	0.000	0.000	0.313	0.000	0.000	0.000	0.000	0.000	0.000
76277	18	8.00	0.965	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76324	10	43.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76348	16	143.33	0.670	0.000	0.128	0.000	0.000	0.000	0.173	0.022	0.000	0.000	0.000	0.006
76359	19	119.00	0.979	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76360	14	5.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76363	17	101.33	0.973	0.000	0.014	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76385	7	33.33	0.463	0.000	0.254	0.000	0.000	0.269	0.000	0.000	0.015	0.000	0.000	0.000
76401	11	142.67	0.591	0.000	0.136	0.000	0.000	0.091	0.182	0.000	0.000	0.000	0.000	0.000
76427	4	135.33	0.000	0.312	0.065	0.290	0.065	0.268	0.000	0.000	0.000	0.000	0.000	0.000
76440	18	30.67	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
