bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
28508	75	463.08	173.65	0.00	34.73	0.00	34.73	34.73	34.73	17.37	17.37	0.00	0.00	115.77
32498	39	460.92	184.37	0.00	36.87	0.00	36.87	36.87	36.87	18.44	18.44	0.00	0.00	92.18
38883	3	291.33	97.11	0.00	19.42	0.00	19.42	19.42	19.42	9.71	9.71	0.00	0.00	97.11
38950	15	269.55	101.08	0.00	20.22	0.00	20.22	20.22	20.22	10.11	10.11	0.00	0.00	67.39
39143	78	279.93	111.97	0.00	22.39	0.00	22.39	22.39	22.39	11.20	11.20	0.00	0.00	55.99
39235	3	254.92	95.59	0.00	19.12	0.00	19.12	19.12	19.12	9.56	9.56	0.00	0.00	63.73
40255	15	264.08	113.18	0.00	22.64	0.00	22.64	22.64	22.64	11.32	11.32	0.00	0.00	37.73
40559	75	247.00	82.33	0.00	16.47	0.00	16.47	16.47	16.47	8.23	8.23	0.00	0.00	82.33
40618	32	215.92	80.97	0.00	16.19	0.00	16.19	16.19	16.19	8.10	8.10	0.00	0.00	53.98
40688	23	229.20	109.35	0.00	21.87	0.00	21.87	21.87	21.87	10.94	10.94	0.00	0.00	10.49
40709	3	223.16	104.78	0.00	20.96	0.00	20.96	20.96	20.96	10.48	10.48	0.00	0.00	13.61
40783	49	216.61	101.47	0.00	20.29	0.00	20.29	20.29	20.29	10.15	10.15	0.00	0.00	13.67
41245	75	642.36	214.12	0.00	42.82	0.00	42.82	42.82	42.82	21.41	21.41	0.00	214.12	0.00
41545	75	223.11	107.42	0.00	21.48	0.00	21.48	21.48	21.48	10.74	10.74	0.00	8.26	0.00
41743	20	218.16	105.54	0.00	21.11	0.00	21.11	21.11	21.11	10.55	10.55	0.00	7.08	0.00
42009	20	414.96	155.61	0.00	31.12	0.00	31.12	31.12	31.12	15.56	15.56	0.00	103.74	0.00
42489	3	210.09	102.25	0.00	20.45	0.00	20.45	20.45	20.45	10.23	10.23	0.00	5.59	0.00
42554	1	413.46	155.05	0.00	31.01	0.00	31.01	31.01	31.01	15.50	15.50	0.00	103.36	0.00
42795	56	171.23	80.58	0.00	16.12	0.00	16.12	16.12	16.12	8.06	8.06	0.00	10.07	0.00
42854	3	167.31	80.52	0.00	16.10	0.00	16.10	16.10	16.10	8.05	8.05	0.00	6.27	0.00
42859	3	167.20	71.66	0.00	14.33	0.00	14.33	14.33	14.33	7.17	7.17	0.00	23.89	0.00
43250	78	189.79	91.45	0.00	18.29	0.00	18.29	18.29	18.29	9.15	9.15	0.00	6.88	0.00
43513	33	154.76	77.38	0.00	15.48	0.00	15.48	15.48	15.48	7.74	7.74	0.00	0.00	0.00
43840	56	161.68	80.84	0.00	16.17	0.00	16.17	16.17	16.17	8.08	8.08	0.00	0.00	0.00
44323	78	135.97	67.99	0.00	13.60	0.00	13.60	13.60	13.60	6.80	6.80	0.00	0.00	0.00
44455	46	156.60	78.30	0.00	15.66	0.00	15.66	15.66	15.66	7.83	7.83	0.00	0.00	0.00
44795	49	136.29	68.15	0.00	13.63	0.00	13.63	13.63	13.63	6.81	6.81	0.00	0.00	0.00
45544	49	136.96	68.48	0.00	13.70	0.00	13.70	13.70	13.70	6.85	6.85	0.00	0.00	0.00
45692	33	448.06	224.03	0.00	44.81	0.00	44.81	44.81	44.81	22.40	22.40	0.00	0.00	0.00
45912	56	110.98	55.49	0.00	11.10	0.00	11.10	11.10	11.10	5.55	5.55	0.00	0.00	0.00
51825	23	21.21	10.61	0.00	2.12	0.00	2.12	2.12	2.12	1.06	1.06	0.00	0.00	0.00
51831	30	1.11	0.56	0.00	0.11	0.00	0.11	0.11	0.11	0.06	0.06	0.00	0.00	0.00
51834	15	16.49	8.24	0.00	1.65	0.00	1.65	1.65	1.65	0.82	0.82	0.00	0.00	0.00
51883	59	21.02	10.51	0.00	2.10	0.00	2.10	2.10	2.10	1.05	1.05	0.00	0.00	0.00
51935	14	25.45	12.73	0.00	2.55	0.00	2.55	2.55	2.55	1.27	1.27	0.00	0.00	0.00
51937	7	16.31	8.15	0.00	1.63	0.00	1.63	1.63	1.63	0.82	0.82	0.00	0.00	0.00
51938	75	26.65	13.33	0.00	2.67	0.00	2.67	2.67	2.67	1.33	1.33	0.00	0.00	0.00
