Dev#	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
1	0.75	1	0.5	0.5	0.5	0.5	0.5	0.8	0.8	2	0	1
2	1	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5
3	1.75	0.25	1.25	0.75	1	1	1	2	2	0.25	2	3
4	1	0	0.3	0.5	0.3	0.3	0.3	0.4	0.4	0	0	0.5
5	1	0.75	0	0.2	0.1	0.1	0.1	0.1	0.1	0	0	0
6	1	0	0	0	0	0	0	0	0	0	0	0
7	1.25	0.5	0.75	1.25	0.75	0.75	0.75	1.5	1.5	1.5	0	1.75
8	1	0	0	0	0	0	0	0	0	0	1	0
9	1	0.25	0.4	1.25	0.4	0.4	0.4	0.7	0.7	0	0	0.5
10	0.75	0.75	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.1
11	1	0	0.4	0	0.4	0.4	0.4	0.7	0.7	0	0	0.5
12	0.5	0	0	0	0	0	0	0	0	0	0	0
13	1.75	1	1.25	0.75	1	1	1	2	2	1.25	1	2
14	4.25	1.25	3	2	3	3	3	3.75	3.75	1	0	4.25
15	2.5	0.75	1.75	2	1.25	1.25	1.25	2.5	2.5	3.5	0	4
16	0.5	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.4
17	1	4.5	0.6	3	0.6	0.6	0.6	1	1	1.5	0	0.5
18	2	0	1.5	1.5	1.25	1.25	1.25	2	2	0.5	0	1.75
19	3.25	0.75	2.25	1.5	2	2	2	3	3	2	0	2.25
20	0.5	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0	0.5	0.2
