bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
28508	75	463.08	173.65	0.00	34.73	0.00	34.73	34.73	34.73	17.37	17.37	0.00	0.00	115.77
32498	39	460.92	184.37	0.00	36.87	0.00	36.87	36.87	36.87	18.44	18.44	0.00	0.00	92.18
38883	3	291.33	97.11	0.00	19.42	0.00	19.42	19.42	19.42	9.71	9.71	0.00	0.00	97.11
38950	15	269.55	101.08	0.00	20.22	0.00	20.22	20.22	20.22	10.11	10.11	0.00	0.00	67.39
39143	78	279.93	111.97	0.00	22.39	0.00	22.39	22.39	22.39	11.20	11.20	0.00	0.00	55.99
39235	3	254.92	95.59	0.00	19.12	0.00	19.12	19.12	19.12	9.56	9.56	0.00	0.00	63.73
40255	15	264.08	113.18	0.00	22.64	0.00	22.64	22.64	22.64	11.32	11.32	0.00	0.00	37.73
40559	75	247.00	82.33	0.00	16.47	0.00	16.47	16.47	16.47	8.23	8.23	0.00	0.00	82.33
40618	32	215.92	80.97	0.00	16.19	0.00	16.19	16.19	16.19	8.10	8.10	0.00	0.00	53.98
40688	23	229.20	109.35	0.00	21.87	0.00	21.87	21.87	21.87	10.94	10.94	0.00	0.00	10.49
40709	3	223.16	104.78	0.00	20.96	0.00	20.96	20.96	20.96	10.48	10.48	0.00	0.00	13.61
40783	49	216.61	101.47	0.00	20.29	0.00	20.29	20.29	20.29	10.15	10.15	0.00	0.00	13.67
41245	75	642.36	214.12	0.00	42.82	0.00	42.82	42.82	42.82	21.41	21.41	0.00	214.12	0.00
41545	75	223.11	107.42	0.00	21.48	0.00	21.48	21.48	21.48	10.74	10.74	0.00	8.26	0.00
47373	32	68.12	34.06	0.00	6.81	0.00	6.81	6.81	6.81	3.41	3.41	0.00	0.00	0.00
50303	50	52.92	26.46	0.00	5.29	0.00	5.29	5.29	5.29	2.65	2.65	0.00	0.00	0.00
50384	32	48.57	24.29	0.00	4.86	0.00	4.86	4.86	4.86	2.43	2.43	0.00	0.00	0.00
51007	15	23.55	11.78	0.00	2.36	0.00	2.36	2.36	2.36	1.18	1.18	0.00	0.00	0.00
51008	17	46.82	23.41	0.00	4.68	0.00	4.68	4.68	4.68	2.34	2.34	0.00	0.00	0.00
51052	46	54.26	27.13	0.00	5.43	0.00	5.43	5.43	5.43	2.71	2.71	0.00	0.00	0.00
51101	32	30.63	15.32	0.00	3.06	0.00	3.06	3.06	3.06	1.53	1.53	0.00	0.00	0.00
51146	57	44.32	22.16	0.00	4.43	0.00	4.43	4.43	4.43	2.22	2.22	0.00	0.00	0.00
51294	39	46.32	23.16	0.00	4.63	0.00	4.63	4.63	4.63	2.32	2.32	0.00	0.00	0.00
51295	3	39.35	19.67	0.00	3.93	0.00	3.93	3.93	3.93	1.97	1.97	0.00	0.00	0.00
51820	32	581.60	290.80	0.00	58.16	0.00	58.16	58.16	58.16	29.08	29.08	0.00	0.00	0.00
51825	23	21.21	10.61	0.00	2.12	0.00	2.12	2.12	2.12	1.06	1.06	0.00	0.00	0.00
51831	30	1.11	0.56	0.00	0.11	0.00	0.11	0.11	0.11	0.06	0.06	0.00	0.00	0.00
51834	15	16.49	8.24	0.00	1.65	0.00	1.65	1.65	1.65	0.82	0.82	0.00	0.00	0.00
51883	59	21.02	10.51	0.00	2.10	0.00	2.10	2.10	2.10	1.05	1.05	0.00	0.00	0.00
51935	14	25.45	12.73	0.00	2.55	0.00	2.55	2.55	2.55	1.27	1.27	0.00	0.00	0.00
51937	7	16.31	8.15	0.00	1.63	0.00	1.63	1.63	1.63	0.82	0.82	0.00	0.00	0.00
51938	75	26.65	13.33	0.00	2.67	0.00	2.67	2.67	2.67	1.33	1.33	0.00	0.00	0.00
