bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
80736	14	278.67	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81083	2	244.00	0.2261	0.3152	0.0913	0.0891	0.2717	0.0000	0.0000	0.0000	0.0000	0.0022	0.0000	0.0043
81084	10	82.67	0.7826	0.0000	0.0435	0.0000	0.0000	0.0000	0.1739	0.0000	0.0000	0.0000	0.0000	0.0000
81128	2	181.33	0.6301	0.1503	0.1676	0.0116	0.0347	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0058
81135	17	164.00	0.9125	0.0250	0.0625	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81138	20	170.67	0.8204	0.0268	0.0509	0.0000	0.0000	0.0000	0.0751	0.0214	0.0000	0.0000	0.0000	0.0054
81146	20	172.00	0.8659	0.0000	0.0447	0.0000	0.0000	0.0000	0.0670	0.0168	0.0000	0.0000	0.0000	0.0056
81376	10	64.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81417	12	150.00	0.9000	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81513	10	31.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81519	7	158.67	0.4000	0.0000	0.0000	0.0500	0.2000	0.3500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81535	14	168.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81556	10	150.33	0.7045	0.0000	0.2955	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81563	7	159.33	0.5094	0.0660	0.0849	0.0377	0.0660	0.2358	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81568	14	159.67	0.9730	0.0000	0.0270	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81571	14	165.67	0.9796	0.0000	0.0204	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81589	17	151.00	0.8605	0.0233	0.1163	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81612	20	125.67	0.7176	0.0305	0.0611	0.0000	0.0000	0.0000	0.1603	0.0229	0.0000	0.0000	0.0000	0.0076
81618	14	23.67	0.9259	0.0000	0.0741	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81658	4	231.00	0.5978	0.0000	0.1739	0.0000	0.0000	0.2174	0.0000	0.0000	0.0109	0.0000	0.0000	0.0000
81706	14	189.33	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81719	19	180.33	0.9412	0.0000	0.0588	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81721	19	196.33	0.9809	0.0000	0.0191	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81724	19	92.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
82089	17	3.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
82102	14	25.33	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
82123	20	8.00	0.7707	0.0382	0.0573	0.0000	0.0000	0.0000	0.0892	0.0382	0.0000	0.0000	0.0000	0.0064
82281	4	8.00	0.1321	0.4717	0.0000	0.3396	0.0566	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
82284	3	7.00	0.1528	0.0833	0.1806	0.0139	0.1250	0.3889	0.0000	0.0000	0.0000	0.0000	0.0000	0.0556
82311	17	2.00	0.8101	0.0759	0.0506	0.0127	0.0127	0.0000	0.0000	0.0380	0.0000	0.0000	0.0000	0.0000
82315	2	8.00	0.3448	0.3448	0.0690	0.0690	0.1724	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
85663	15	8.00	0.0000	0.0870	0.1087	0.0000	0.0870	0.7174	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
85686	7	4.00	0.4500	0.1500	0.1500	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
85717	17	1.00	0.9329	0.0134	0.0201	0.0067	0.0067	0.0000	0.0000	0.0201	0.0000	0.0000	0.0000	0.0000
85829	7	2.00	0.3600	0.2000	0.0800	0.0000	0.0800	0.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
