bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
38573	49	94.18	35.32	0.00	7.06	0.00	7.06	7.06	7.06	3.53	3.53	0.00	0.00	23.55
39145	33	84.01	33.61	0.00	6.72	0.00	6.72	6.72	6.72	3.36	3.36	0.00	0.00	16.80
39250	14	282.47	105.93	0.00	21.19	0.00	21.19	21.19	21.19	10.59	10.59	0.00	0.00	70.62
39294	14	79.10	29.66	0.00	5.93	0.00	5.93	5.93	5.93	2.97	2.97	0.00	0.00	19.78
39295	14	82.72	31.02	0.00	6.20	0.00	6.20	6.20	6.20	3.10	3.10	0.00	0.00	20.68
39309	25	79.12	29.67	0.00	5.93	0.00	5.93	5.93	5.93	2.97	2.97	0.00	0.00	19.78
39498	17	252.17	108.07	0.00	21.61	0.00	21.61	21.61	21.61	10.81	10.81	0.00	0.00	36.02
39812	33	77.17	28.94	0.00	5.79	0.00	5.79	5.79	5.79	2.89	2.89	0.00	0.00	19.29
40269	14	71.91	29.96	0.00	5.99	0.00	5.99	5.99	5.99	3.00	3.00	0.00	0.00	11.99
40387	40	119.80	51.34	0.00	10.27	0.00	10.27	10.27	10.27	5.13	5.13	0.00	0.00	17.11
40500	23	72.93	24.31	0.00	4.86	0.00	4.86	4.86	4.86	2.43	2.43	0.00	0.00	24.31
40518	25	72.61	27.23	0.00	5.45	0.00	5.45	5.45	5.45	2.72	2.72	0.00	0.00	18.15
40579	25	76.41	28.66	0.00	5.73	0.00	5.73	5.73	5.73	2.87	2.87	0.00	0.00	19.10
40583	11	84.10	35.04	0.00	7.01	0.00	7.01	7.01	7.01	3.50	3.50	0.00	0.00	14.02
40609	14	71.27	26.73	0.00	5.35	0.00	5.35	5.35	5.35	2.67	2.67	0.00	0.00	17.82
40772	25	48.93	24.21	0.00	4.84	0.00	4.84	4.84	4.84	2.42	2.42	0.00	0.00	0.52
40789	40	69.89	30.58	0.00	6.12	0.00	6.12	6.12	6.12	3.06	3.06	0.00	0.00	8.74
40790	40	69.88	32.01	0.00	6.40	0.00	6.40	6.40	6.40	3.20	3.20	0.00	0.00	5.86
40863	32	46.16	17.31	0.00	3.46	0.00	3.46	3.46	3.46	1.73	1.73	0.00	0.00	11.54
41068	15	34.63	16.87	0.00	3.37	0.00	3.37	3.37	3.37	1.69	1.69	0.00	0.90	0.00
41156	15	30.89	11.58	0.00	2.32	0.00	2.32	2.32	2.32	1.16	1.16	0.00	7.72	0.00
41352	14	26.13	10.45	0.00	2.09	0.00	2.09	2.09	2.09	1.05	1.05	0.00	5.23	0.00
41495	56	27.91	12.56	0.00	2.51	0.00	2.51	2.51	2.51	1.26	1.26	0.00	2.79	0.00
41562	25	46.72	19.02	0.00	3.80	0.00	3.80	3.80	3.80	1.90	1.90	0.00	8.69	0.00
41580	56	19.80	8.49	0.00	1.70	0.00	1.70	1.70	1.70	0.85	0.85	0.00	2.83	0.00
41581	32	18.96	7.11	0.00	1.42	0.00	1.42	1.42	1.42	0.71	0.71	0.00	4.74	0.00
41587	56	28.81	10.80	0.00	2.16	0.00	2.16	2.16	2.16	1.08	1.08	0.00	7.20	0.00
41633	32	16.54	6.20	0.00	1.24	0.00	1.24	1.24	1.24	0.62	0.62	0.00	4.14	0.00
41650	25	42.74	16.03	0.00	3.21	0.00	3.21	3.21	3.21	1.60	1.60	0.00	10.68	0.00
41671	32	21.33	9.48	0.00	1.90	0.00	1.90	1.90	1.90	0.95	0.95	0.00	2.37	0.00
41773	48	15.43	6.82	0.00	1.36	0.00	1.36	1.36	1.36	0.68	0.68	0.00	1.78	0.00
41819	23	32.19	12.07	0.00	2.41	0.00	2.41	2.41	2.41	1.21	1.21	0.00	8.05	0.00
41877	32	31.93	13.68	0.00	2.74	0.00	2.74	2.74	2.74	1.37	1.37	0.00	4.56	0.00
41904	25	36.50	15.21	0.00	3.04	0.00	3.04	3.04	3.04	1.52	1.52	0.00	6.08	0.00
41921	39	10.25	3.85	0.00	0.77	0.00	0.77	0.77	0.77	0.38	0.38	0.00	2.56	0.00
41940	15	0.17	0.08	0.00	0.02	0.00	0.02	0.02	0.02	0.01	0.01	0.00	0.01	0.00
41942	56	20.69	6.90	0.00	1.38	0.00	1.38	1.38	1.38	0.69	0.69	0.00	6.90	0.00
41943	56	7.89	2.63	0.00	0.53	0.00	0.53	0.53	0.53	0.26	0.26	0.00	2.63	0.00
41947	14	2.92	1.24	0.00	0.25	0.00	0.25	0.25	0.25	0.12	0.12	0.00	0.45	0.00
41963	56	7.29	3.53	0.00	0.71	0.00	0.71	0.71	0.71	0.35	0.35	0.00	0.24	0.00
