bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
39024	15	310.99	116.62	0	23.32	0	23.32	23.32	23.32	11.66	11.66	0	0	77.75
39772	56	162.86	65.14	0	13.03	0	13.03	13.03	13.03	6.51	6.51	0	0	32.57
40060	33	252.28	94.61	0	18.92	0	18.92	18.92	18.92	9.46	9.46	0	0	63.07
40725	33	286.47	139.17	0	27.83	0	27.83	27.83	27.83	13.92	13.92	0	0	8.14
40916	57	225.00	103.13	0	20.63	0	20.63	20.63	20.63	10.31	10.31	0	18.75	0
41090	28	284.34	106.63	0	21.33	0	21.33	21.33	21.33	10.66	10.66	0	71.09	0
42120	22	238.14	104.19	0	20.84	0	20.84	20.84	20.84	10.42	10.42	0	29.77	0
42138	15	238.08	97.11	0	19.42	0	19.42	19.42	19.42	9.71	9.71	0	43.86	0
42185	3	282.00	105.75	0	21.15	0	21.15	21.15	21.15	10.57	10.57	0	70.50	0
45729	73	155.94	77.97	0	15.59	0	15.59	15.59	15.59	7.80	7.80	0	0	0
48849	65	124.83	62.41	0	12.48	0	12.48	12.48	12.48	6.24	6.24	0	0	0
49811	59	412.47	206.24	0	41.25	0	41.25	41.25	41.25	20.62	20.62	0	0	0
50438	71	223.24	111.62	0	22.32	0	22.32	22.32	22.32	11.16	11.16	0	0	0
50534	59	423.00	211.50	0	42.30	0	42.30	42.30	42.30	21.15	21.15	0	0	0
50572	59	381.47	190.73	0	38.15	0	38.15	38.15	38.15	19.07	19.07	0	0	0
50631	56	105.69	52.85	0	10.57	0	10.57	10.57	10.57	5.28	5.28	0	0	0
51085	57	239.04	119.52	0	23.90	0	23.90	23.90	23.90	11.95	11.95	0	0	0
63832	57	208.93	85.47	0	17.09	0	55.08	17.09	17.09	8.55	8.55	0	0	0
64362	75	278.51	139.25	0	27.85	0	27.85	27.85	27.85	13.93	13.93	0	0	0
71747	59	26.51	13.25	0	2.65	0	2.65	2.65	2.65	1.33	1.33	0	0	0
