bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
39251	15	164.46	61.67	0.00	12.33	0.00	12.33	12.33	12.33	6.17	6.17	0.00	0.00	41.11
40541	23	147.64	61.52	0.00	12.30	0.00	12.30	12.30	12.30	6.15	6.15	0.00	0.00	24.61
41220	73	124.53	53.37	0.00	10.67	0.00	10.67	10.67	10.67	5.34	5.34	0.00	17.79	0.00
41252	73	131.89	58.88	0.00	11.78	0.00	11.78	11.78	11.78	5.89	5.89	0.00	14.13	0.00
41609	14	115.33	49.43	0.00	9.89	0.00	9.89	9.89	9.89	4.94	4.94	0.00	16.48	0.00
41676	11	114.33	50.87	0.00	10.17	0.00	10.17	10.17	10.17	5.09	5.09	0.00	12.60	0.00
41804	39	104.25	41.70	0.00	8.34	0.00	8.34	8.34	8.34	4.17	4.17	0.00	20.85	0.00
41815	1	117.85	49.10	0.00	9.82	0.00	9.82	9.82	9.82	4.91	4.91	0.00	19.64	0.00
42080	39	274.25	123.41	0.00	24.68	0.00	24.68	24.68	24.68	12.34	12.34	0.00	27.43	0.00
42272	14	107.72	40.39	0.00	8.08	0.00	8.08	8.08	8.08	4.04	4.04	0.00	26.93	0.00
42883	46	204.09	81.64	0.00	16.33	0.00	16.33	16.33	16.33	8.16	8.16	0.00	40.82	0.00
43161	20	91.90	35.14	0.00	7.03	0.00	7.03	7.03	7.03	3.51	3.51	0.00	21.62	0.00
44009	20	65.93	32.96	0.00	6.59	0.00	6.59	6.59	6.59	3.30	3.30	0.00	0.00	0.00
44387	46	132.49	66.25	0.00	13.25	0.00	13.25	13.25	13.25	6.62	6.62	0.00	0.00	0.00
44784	3	35.14	17.57	0.00	3.51	0.00	3.51	3.51	3.51	1.76	1.76	0.00	0.00	0.00
45139	39	42.34	21.17	0.00	4.23	0.00	4.23	4.23	4.23	2.12	2.12	0.00	0.00	0.00
45239	1	49.50	24.75	0.00	4.95	0.00	4.95	4.95	4.95	2.47	2.47	0.00	0.00	0.00
