bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
38815	15	96	38	0	8	0	8	8	8	4	4	0	0	19
38842	15	74	31	0	6	0	6	6	6	3	3	0	0	12
39567	14	50	19	0	4	0	4	4	4	2	2	0	0	13
39584	3	16	6	0	1	0	1	1	1	1	1	0	0	4
39608	39	54	23	0	5	0	5	5	5	2	2	0	0	7
39757	1	48	18	0	4	0	4	4	4	2	2	0	0	12
40037	32	30	11	0	2	0	2	2	2	1	1	0	0	7
40069	32	38	15	0	3	0	3	3	3	2	2	0	0	8
40138	23	4	4	0	0	0	0	0	0	0	0	0	0	0
40154	33	35	13	0	3	0	3	3	3	1	1	0	0	9
40165	32	20	8	0	2	0	2	2	2	1	1	0	0	4
40212	15	5	2	0	0	0	0	0	0	0	0	0	0	1
40235	23	2	2	0	0	0	0	0	0	0	0	0	0	0
40254	15	5	2	0	0	0	0	0	0	0	0	0	0	1
40277	32	2	1	0	0	0	0	0	0	0	0	0	0	0
40490	32	21	8	0	2	0	2	2	2	1	1	0	0	4
40497	33	5	2	0	0	0	0	0	0	0	0	0	0	2
40565	16	10	4	0	1	0	1	1	1	0	0	0	0	2
40576	15	1	0	0	0	0	0	0	0	0	0	0	0	0
40615	75	658	247	0	49	0	49	49	49	25	25	0	0	165
40622	23	3	1	0	0	0	0	0	0	0	0	0	0	1
40635	3	10	10	0	0	0	0	0	0	0	0	0	0	0
40727	1	32	15	0	3	0	3	3	3	1	1	0	0	3
40733	23	4	2	0	0	0	0	0	0	0	0	0	0	0
40756	16	6	3	0	1	0	1	1	1	0	0	0	0	0
40757	16	6	3	0	1	0	1	1	1	0	0	0	0	0
40951	32	5	2	0	0	0	0	0	0	0	0	0	0	0
40961	23	2	1	0	0	0	0	0	0	0	0	0	1	0
40962	23	2	1	0	0	0	0	0	0	0	0	0	0	0
41041	32	4	2	0	0	0	0	0	0	0	0	0	0	0
41056	1	5	2	0	0	0	0	0	0	0	0	0	1	0
41119	32	4	2	0	0	0	0	0	0	0	0	0	0	0
41120	15	4	2	0	0	0	0	0	0	0	0	0	0	0
41157	15	3	1	0	0	0	0	0	0	0	0	0	1	0
41158	15	2	2	0	0	0	0	0	0	0	0	0	0	0
41214	49	2	2	0	0	0	0	0	0	0	0	0	0	0
41585	14	3	1	0	0	0	0	0	0	0	0	0	1	0
41616	14	5	2	0	0	0	0	0	0	0	0	0	1	0
41619	65	12	6	0	1	0	1	1	1	1	1	0	0	0
42075	3	2	2	0	0	0	0	0	0	0	0	0	0	0
42084	25	1	0	0	0	0	0	0	0	0	0	0	0	0
42110	13	1	0	0	0	0	0	0	0	0	0	0	0	0
42139	75	622	249	0	50	0	50	50	50	25	25	0	124	0
