bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
39436	17	171.87	71.61	0.00	14.32	0.00	14.32	14.32	14.32	7.16	7.16	0.00	0.00	28.65
40050	49	191.22	71.71	0.00	14.34	0.00	14.34	14.34	14.34	7.17	7.17	0.00	0.00	47.81
41325	71	130.25	57.89	0.00	11.58	0.00	11.58	11.58	11.58	5.79	5.79	0.00	14.47	0.00
41509	33	83.30	33.32	0.00	6.66	0.00	6.66	6.66	6.66	3.33	3.33	0.00	16.66	0.00
41738	56	62.95	26.23	0.00	5.25	0.00	5.25	5.25	5.25	2.62	2.62	0.00	10.49	0.00
41883	56	95.23	42.33	0.00	8.47	0.00	8.47	8.47	8.47	4.23	4.23	0.00	10.58	0.00
42367	30	58.28	23.31	0.00	4.66	0.00	4.66	4.66	4.66	2.33	2.33	0.00	11.66	0.00
42415	3	41.86	15.70	0.00	3.14	0.00	3.14	3.14	3.14	1.57	1.57	0.00	10.46	0.00
42456	17	98.00	43.75	0.00	8.75	0.00	8.75	8.75	8.75	4.38	4.38	0.00	10.50	0.00
42796	56	59.04	27.73	0.00	5.55	0.00	5.55	5.55	5.55	2.77	2.77	0.00	3.58	0.00
42847	33	30.62	14.62	0.00	2.92	0.00	2.92	2.92	2.92	1.46	1.46	0.00	1.39	0.00
42969	56	56.89	18.96	0.00	3.79	0.00	3.79	3.79	3.79	1.90	1.90	0.00	18.96	0.00
43108	30	49.98	19.99	0.00	4.00	0.00	4.00	4.00	4.00	2.00	2.00	0.00	10.00	0.00
43152	46	198.18	94.44	0.00	18.89	0.00	18.89	18.89	18.89	9.44	9.44	0.00	9.29	0.00
44040	14	12.92	6.46	0.00	1.29	0.00	1.29	1.29	1.29	0.65	0.65	0.00	0.00	0.00
45473	32	0.94	0.47	0.00	0.09	0.00	0.09	0.09	0.09	0.05	0.05	0.00	0.00	0.00
45509	13	2.75	1.38	0.00	0.28	0.00	0.28	0.28	0.28	0.14	0.14	0.00	0.00	0.00
45513	23	2.87	1.44	0.00	0.29	0.00	0.29	0.29	0.29	0.14	0.14	0.00	0.00	0.00
45521	49	5.53	2.77	0.00	0.55	0.00	0.55	0.55	0.55	0.28	0.28	0.00	0.00	0.00
45524	32	17.66	8.83	0.00	1.77	0.00	1.77	1.77	1.77	0.88	0.88	0.00	0.00	0.00
45602	39	807.12	403.56	0.00	80.71	0.00	80.71	80.71	80.71	40.36	40.36	0.00	0.00	0.00
45628	30	2.47	1.24	0.00	0.25	0.00	0.25	0.25	0.25	0.12	0.12	0.00	0.00	0.00
45644	15	9.37	4.69	0.00	0.94	0.00	0.94	0.94	0.94	0.47	0.47	0.00	0.00	0.00
45651	33	2.59	1.30	0.00	0.26	0.00	0.26	0.26	0.26	0.13	0.13	0.00	0.00	0.00
45652	56	9.79	4.90	0.00	0.98	0.00	0.98	0.98	0.98	0.49	0.49	0.00	0.00	0.00
45703	39	11.09	5.55	0.00	1.11	0.00	1.11	1.11	1.11	0.55	0.55	0.00	0.00	0.00
45730	46	133.05	66.52	0.00	13.30	0.00	13.30	13.30	13.30	6.65	6.65	0.00	0.00	0.00
45731	56	0.23	0.12	0.00	0.02	0.00	0.02	0.02	0.02	0.01	0.01	0.00	0.00	0.00
45761	46	151.76	75.88	0.00	15.18	0.00	15.18	15.18	15.18	7.59	7.59	0.00	0.00	0.00
45781	23	30.25	15.12	0.00	3.02	0.00	3.02	3.02	3.02	1.51	1.51	0.00	0.00	0.00
45800	30	0.09	0.04	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00
45933	39	8.10	4.05	0.00	0.81	0.00	0.81	0.81	0.81	0.41	0.41	0.00	0.00	0.00
45943	46	112.77	56.39	0.00	11.28	0.00	11.28	11.28	11.28	5.64	5.64	0.00	0.00	0.00
45995	32	13.03	6.51	0.00	1.30	0.00	1.30	1.30	1.30	0.65	0.65	0.00	0.00	0.00
46007	33	1.48	0.74	0.00	0.15	0.00	0.15	0.15	0.15	0.07	0.07	0.00	0.00	0.00
46031	46	143.97	71.98	0.00	14.40	0.00	14.40	14.40	14.40	7.20	7.20	0.00	0.00	0.00
46805	1	2.12	1.06	0.00	0.21	0.00	0.21	0.21	0.21	0.11	0.11	0.00	0.00	0.00
46819	15	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
46858	14	0.04	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
47043	32	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
47046	20	25.01	12.50	0.00	2.50	0.00	2.50	2.50	2.50	1.25	1.25	0.00	0.00	0.00
47071	14	0.26	0.13	0.00	0.03	0.00	0.03	0.03	0.03	0.01	0.01	0.00	0.00	0.00
47116	59	0.33	0.17	0.00	0.03	0.00	0.03	0.03	0.03	0.02	0.02	0.00	0.00	0.00
47133	15	0.04	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
