Dev#	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12	hourlywage
1	0.75	1	0.5	0.5	0.5	0.5	0.5	0.8	0.8	2	0	1	60
2	1	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	70
3	1.75	0.25	1.25	0.75	1	1	1	2	2	0.25	2	3	100
4	1	0	0.3	0.5	0.3	0.3	0.3	0.4	0.4	0	0	0.5	50
5	1	0.75	0	0.2	0.1	0.1	0.1	0.1	0.1	0	0	0	50
6	1	0	0	0	0	0	0	0	0	0	0	0	40
7	1.25	0.5	0.75	1.25	0.75	0.75	0.75	1.5	1.5	1.5	0	1.75	100
8	1	0	0	0	0	0	0	0	0	0	1	0	40
9	1	0.25	0.4	1.25	0.4	0.4	0.4	0.7	0.7	0	0	0.5	50
10	0.75	0.75	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.1	40
11	1	0	0.4	0	0.4	0.4	0.4	0.7	0.7	0	0	0.5	40
12	0.5	0	0	0	0	0	0	0	0	0	0	0	30
13	1.75	1	1.25	0.75	1	1	1	2	2	1.25	1	2	100
14	4.25	1.25	3	2	3	3	3	3.75	3.75	1	0	4.25	120
15	2.5	0.75	1.75	2	1.25	1.25	1.25	2.5	2.5	3.5	0	4	120
16	0.5	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.4	40
17	1	4.5	0.6	3	0.6	0.6	0.6	1	1	1.5	0	0.5	100
18	2	0	1.5	1.5	1.25	1.25	1.25	2	2	0.5	0	1.75	100
19	3.25	0.75	2.25	1.5	2	2	2	3	3	2	0	2.25	120
20	0.5	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0	0.5	0.2	40
21	1	0.25	0.4	0	0.4	0.4	0.4	0.7	0.7	0	0	0.5	50
22	0.5	0	0	0	0	0	0	0	0	0	0	0	40
23	2.25	0	1.5	0	1.25	1.25	1.25	2.5	2.5	0	0	2	40
24	1	0	0.6	0.75	0.6	0.6	0.6	1	1	0.25	1	1	50
25	0.5	0	0	0	0	0	0	0	0	0	0	0.5	40
26	1.25	1	0.75	0.2	0.75	0.75	0.75	1.5	1.5	0.5	0	1.75	50
27	0.5	0	0	0	0	0	0	0	0	0	0	1	40
28	1.5	1	2	1.5	1	1	1	1	1	1.5	1.5	1.5	75
29	0.5	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0	0	0	40
30	1.25	0	0.75	2.25	0.75	0.75	0.75	1.5	1.5	0.5	0	1	75
31	3.5	0.25	2.25	5	2	2	2	3	3	3	0	1.75	120
32	3.75	0.5	2.5	1.5	2.5	2.5	2.5	3.75	3.75	0.75	5	4.25	120
33	3.25	0	2.25	1.25	2	2	2	3	3	3.5	0	3	100
34	1	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0	0	0	40
35	1	0	0.3	1.5	0.3	0.3	0.3	0.4	0.4	0.5	0	0.1	50
36	1	0	0	0	0	0	0	0	0	0	1	1	75
37	1	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.4	40
38	1	0	0	0	0	0	0	0	0	0	0	1	40
39	2.25	1	1.5	1.5	1.25	1.25	1.25	2.5	2.5	1	1	2.25	75
40	1	0.75	0.3	0.5	0.3	0.3	0.3	0.4	0.4	0	0	0.5	50
41	1	0	0	0	0	0	0	0	0	0	0	0.5	40
42	1	0	0	0	0	0	0	0	0	0	0	1	40
43	1	0	0	0	0	0	0	0	0	0	1	1.25	40
44	1	0	0	0.1	0	0	0	0	0	0	0	2	40
45	2.25	0	1.75	1	1.25	1.25	1.25	2.5	2.5	4	0	2.25	100
46	0.5	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0	0	0.2	50
47	1	1.25	0.3	1.5	0.3	0.3	0.3	0.5	0.5	0	0	0.1	75
48	3.75	4	2.5	1.25	2.5	2.5	2.5	3.75	3.75	0.25	0	4	100
49	4	0	2.75	0.75	2.5	2.5	2.5	3.75	3.75	0.5	0.5	3	120
50	1	0	0	0	0	0	0	0	0	0	0	1	40
51	1	0	0.5	0	0.5	0.5	0.5	0.7	0.7	0	0	0.5	75
52	0.5	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.4	40
53	1	0	0	0	0	0	0	0	0	0	0	0.5	40
54	4.5	0.5	4.5	3	4.5	4.5	4.5	4.5	4.5	0.25	0	1	150
55	1	0	0	0	0	0	2	0	0	0	0	0	50
56	5	0.5	5	1.25	4.5	4.5	4.5	4.5	4.5	5	0	5	150
57	2	1	1	1	1	1	2	1	1	1	1	1.25	75
58	0.5	1	0.1	0.5	0.1	0.1	0.1	0.1	0.1	0	0	0	50
59	2.25	0.75	1.5	0.75	1.25	1.25	1.25	2.5	2.5	0.5	0	2	75
60	1	0	0	0	0	0	0	1	0	0	0	0	40
61	1	0	0.3	0	0.3	0.3	0.3	0.3	0.3	0	1	0.4	40
62	0.5	0.25	0	0	1	0	0	0	0	0	0	0	40
63	0.25	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.2	40
64	1	0	0	0	0	0	0.5	0	0	0	1	0	40
65	2	0.75	0.4	0.1	0.4	0.4	0.4	0.7	0.7	0	0	0.5	50
66	0.5	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	40
67	1.75	0	1.25	0.5	1	1	1	2	2	2	0	1.75	75
68	1	0	0	0	1	0	0	0	0	0	0	0	40
69	0.75	1.75	0.5	1.25	0.5	0.5	0.5	0.7	0.7	0.25	1	0.5	75
70	1	0	0	0	0	0	0	0.5	0	0	0	0	50
71	2	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.2	50
72	2	0	0	0	0.1	0.1	0.1	0.1	0.1	0	0	0.1	75
73	1	0	0	0	0	0	0.5	0	0	0	1	0	40
74	1	0	0.3	0	0.3	0.3	0.3	0.3	0.3	0	0	0.4	50
75	2	0.5	1.25	0.2	1.25	1.25	1.25	2	2	1	1	2	75
76	1	0	0.6	0.5	0.6	0.6	0.6	1	1	0.5	4	1	75
77	1	0	0	0	0	0	0	0	0	0	0	0	50
78	1	0	0	0	0	0	0	0	0	0	0	0	50
