Dev#	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
1	2	2	2	1	1	0	1.5	2	0	0	4.75	2.25
2	1.5	3.5	1.5	2.75	2.5	0	0.75	0	0	2.75	0.25	3
3	1.5	2.5	2	2.25	2.25	1.5	0	0	0.75	0	0	2.25
4	1.5	2.5	2.25	2	2.5	2.25	0	0	2.25	0	0	2.25
5	2.5	0.75	2	0	0	0	0	2	0	0	0	1.5
6	2	2	2.25	2	1.5	0	2.75	2	0	0.75	0	2.25
7	1.5	1.5	2	1.5	1.5	2.25	0	0	3	0	0	1
8	1.5	4	1.5	2.5	2.25	0	0	2	0	0	0	1.5
9	1.5	3	2.25	3	2.25	0.75	0	0	0	0	0	1
10	2.25	0.5	2.25	0	0	0	1.5	2	0	0.75	0	2.5
11	1	2.25	2.25	1.5	2.25	2.75	0	0	1.5	0	0	0
12	2.25	0.5	2.75	0	0	0	0	0	0	0	0	1
13	2.5	0.5	1	0	0	0	0	2	0	0	0	0
14	2.5	0.5	2	0	0	0	0	2	0	0	0.5	1
15	1	2.5	2.25	2	2.25	2.75	0	0	2	0	0	1.5
16	2	1.5	1.5	1.5	1	0.5	2.5	2	0	0	0	2.5
17	2	2.25	2	2.25	2	0	0	2	0	2.75	0	2.5
18	2.5	0.75	2	0.5	0	0	0	2	0	0	0	1.5
19	2.5	0	1.5	0	0	0	0	0	0	0	0	1
20	2	1.5	1.5	1.5	1	0	2.25	2	0	0	0.25	2.5
