bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
97027	17	87.33	0.87	0.03	0.05	0.00	0.00	0.00	0.03	0.02	0.00	0.00	0.00	0.00
97220	18	254.67	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
97326	18	288.00	0.93	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
99995	20	133.67	0.77	0.11	0.08	0.03	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
100043	19	181.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100153	19	162.67	0.86	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100797	5	112.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100808	5	113.33	0.89	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101247	18	63.67	0.94	0.00	0.04	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
101283	10	112.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101387	14	109.67	0.94	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101677	16	391.67	0.35	0.26	0.10	0.14	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.01
101863	20	354.67	0.87	0.00	0.04	0.00	0.00	0.00	0.07	0.02	0.00	0.00	0.00	0.01
101885	18	22.67	0.87	0.03	0.06	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
101938	6	238.33	0.82	0.00	0.09	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00
101955	18	30.33	0.94	0.03	0.03	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
102181	19	44.33	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
