Dev#	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
1	0.75	1	0.5	0.5	0.5	0.5	0.5	0.8	0.8	2	0	1
2	1	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5
3	1.75	0.25	1.25	0.75	1	1	1	2	2	0.25	2	3
4	1	0	0.3	0.5	0.3	0.3	0.3	0.4	0.4	0	0	0.5
5	1	0.75	0	0.2	0.1	0.1	0.1	0.1	0.1	0	0	0
6	1	0	0	0	0	0	0	0	0	0	0	0
7	1.25	0.5	0.75	1.25	0.75	0.75	0.75	1.5	1.5	1.5	0	1.75
8	1	0	0	0	0	0	0	0	0	0	1	0
9	1	0.25	0.4	1.25	0.4	0.4	0.4	0.7	0.7	0	0	0.5
10	0.75	0.75	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.1
11	1	0	0.4	0	0.4	0.4	0.4	0.7	0.7	0	0	0.5
12	0.5	0	0	0	0	0	0	0	0	0	0	0
13	1.75	1	1.25	0.75	1	1	1	2	2	1.25	1	2
14	4.25	1.25	3	2	3	3	3	3.75	3.75	1	0	4.25
15	2.5	0.75	1.75	2	1.25	1.25	1.25	2.5	2.5	3.5	0	4
16	0.5	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.4
17	1	4.5	0.6	3	0.6	0.6	0.6	1	1	1.5	0	0.5
18	2	0	1.5	1.5	1.25	1.25	1.25	2	2	0.5	0	1.75
19	3.25	0.75	2.25	1.5	2	2	2	3	3	2	0	2.25
20	0.5	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0	0.5	0.2
21	1	0.25	0.4	0	0.4	0.4	0.4	0.7	0.7	0	0	0.5
22	0.5	0	0	0	0	0	0	0	0	0	0	0
23	2.25	0	1.5	0	1.25	1.25	1.25	2.5	2.5	0	0	2
24	1	0	0.6	0.75	0.6	0.6	0.6	1	1	0.25	1	1
25	0.5	0	0	0	0	0	0	0	0	0	0	0.5
26	1.25	1	0.75	0.2	0.75	0.75	0.75	1.5	1.5	0.5	0	1.75
27	0.5	0	0	0	0	0	0	0	0	0	0	1
28	1.5	1	2	1.5	1	1	1	1	1	1.5	1.5	1.5
29	0.5	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0	0	0
30	1.25	0	0.75	2.25	0.75	0.75	0.75	1.5	1.5	0.5	0	1
31	3.5	0.25	2.25	5	2	2	2	3	3	3	0	1.75
32	3.75	0.5	2.5	1.5	2.5	2.5	2.5	3.75	3.75	0.75	5	4.25
33	3.25	0	2.25	1.25	2	2	2	3	3	3.5	0	3
34	1	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0	0	0
35	1	0	0.3	1.5	0.3	0.3	0.3	0.4	0.4	0.5	0	0.1
36	1	0	0	0	0	0	0	0	0	0	1	1
37	1	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.4
38	1	0	0	0	0	0	0	0	0	0	0	1
39	2.25	1	1.5	1.5	1.25	1.25	1.25	2.5	2.5	1	1	2.25
40	1	0.75	0.3	0.5	0.3	0.3	0.3	0.4	0.4	0	0	0.5
41	1	0	0	0	0	0	0	0	0	0	0	0.5
42	1	0	0	0	0	0	0	0	0	0	0	1
43	1	0	0	0	0	0	0	0	0	0	1	1.25
44	1	0	0	0.1	0	0	0	0	0	0	0	2
45	2.25	0	1.75	1	1.25	1.25	1.25	2.5	2.5	4	0	2.25
46	0.5	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0	0	0.2
47	1	1.25	0.3	1.5	0.3	0.3	0.3	0.5	0.5	0	0	0.1
48	3.75	4	2.5	1.25	2.5	2.5	2.5	3.75	3.75	0.25	0	4
49	4	0	2.75	0.75	2.5	2.5	2.5	3.75	3.75	0.5	0.5	3
50	1	0	0	0	0	0	0	0	0	0	0	1
51	1	0	0.5	0	0.5	0.5	0.5	0.7	0.7	0	0	0.5
52	0.5	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.4
53	1	0	0	0	0	0	0	0	0	0	0	0.5
54	4.5	0.5	4.5	3	4.5	4.5	4.5	4.5	4.5	0.25	0	1
55	1	0	0	0	0	0	2	0	0	0	0	0
56	5	0.5	5	1.25	4.5	4.5	4.5	4.5	4.5	5	0	5
57	2	1	1	1	1	1	2	1	1	1	1	1.25
58	0.5	1	0.1	0.5	0.1	0.1	0.1	0.1	0.1	0	0	0
59	2.25	0.75	1.5	0.75	1.25	1.25	1.25	2.5	2.5	0.5	0	2
60	1	0	0	0	0	0	0	1	0	0	0	0
61	1	0	0.3	0	0.3	0.3	0.3	0.3	0.3	0	1	0.4
62	0.5	0.25	0	0	1	0	0	0	0	0	0	0
63	0.25	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.2
64	1	0	0	0	0	0	0.5	0	0	0	1	0
65	2	0.75	0.4	0.1	0.4	0.4	0.4	0.7	0.7	0	0	0.5
66	0.5	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0
67	1.75	0	1.25	0.5	1	1	1	2	2	2	0	1.75
68	1	0	0	0	1	0	0	0	0	0	0	0
69	0.75	1.75	0.5	1.25	0.5	0.5	0.5	0.7	0.7	0.25	1	0.5
70	1	0	0	0	0	0	0	0.5	0	0	0	0
71	2	0	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0.2
72	2	0	0	0	0.1	0.1	0.1	0.1	0.1	0	0	0.1
73	1	0	0	0	0	0	0.5	0	0	0	1	0
74	1	0	0.3	0	0.3	0.3	0.3	0.3	0.3	0	0	0.4
75	2	0.5	1.25	0.2	1.25	1.25	1.25	2	2	1	1	2
76	1	0	0.6	0.5	0.6	0.6	0.6	1	1	0.5	4	1
77	1	0	0	0	0	0	0	0	0	0	0	0
78	1	0	0	0	0	0	0	0	0	0	0	0
