bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
44216	49	575	288	0	58	0	58	58	58	29	29	0	0	0
44724	32	349	174	0	35	0	35	35	35	17	17	0	0	0
45854	57	492	246	0	49	0	49	49	49	25	25	0	0	0
49486	22	164	82	0	16	0	16	16	16	8	8	0	0	0
63537	57	418	190	0	38	0	76	38	38	19	19	0	0	0
64370	15	67	33	0	7	0	7	7	7	3	3	0	0	0
67165	9	27	15	0	3	0	3	3	3	0	0	0	0	0
67489	76	18	10	0	2	0	2	2	2	0	0	0	0	0
67917	22	46	23	0	5	0	5	5	5	2	2	0	0	0
68170	49	297	149	0	30	0	30	30	30	15	15	0	0	0
68419	22	31	16	0	3	0	3	3	3	2	2	0	0	0
68523	14	26	14	0	3	0	3	3	3	0	0	0	0	0
68667	30	3	1	0	0	0	0	0	0	0	0	0	0	0
69057	50	4	3	0	0	0	0	0	0	0	0	0	0	0
69365	2	5	2	0	0	0	0	0	0	0	0	0	0	0
69952	50	18	10	0	2	0	2	2	2	0	0	0	0	0
71175	57	283	142	0	28	0	28	28	28	14	14	0	0	0
80150	9	115	58	0	12	0	12	12	12	6	6	0	0	0
